filename,AlkylationReagent,CellLine,CellType,CleavageAgent,Compound,Disease,EnrichmentMethod,MaterialType,Modification,Organism,OrganismPart,ReductionReagent,SpikedCompound,Staining,Strain
MSV000079528.txt,iodoacetamide,HeLa cells,,trypsin,"thymidine 1 mm, taxol, MG132 10 μm, Flavopiridol 2 μm, RO-3306 5 μm",,"titanium dioxide microspheres, TiO2 microspheres","cells, cell line","carbamidomethylcysteine, oxidized methionine, heavy lysine, heavy arginine, phosphorylated serine, phosphorylated threonine, phosphorylated tyrosine","Homo sapiens, Saccharomyces cerevisiae",,"dithiothreitol, DTT",,,
MSV000079539.txt,"iodoacetamide, Carbamidomethylation of cysteine","JY, SupB15WT, HCC1143, HCC1937, HB95, HCT116, SupB15RT",Primary fibroblast cells,trypsin,imatinib 1 μ m,"cancer, human colon cancer","immunoaffinity purified HLA-I molecules, Sep-Pak tC18 (Waters, Milford, MA) cartridges, Silica C-18 column tips (Harvard Apparatus, Holliston, MA), C 18 based StageTip","cells, cell line","N-terminal acetylation, methionine oxidation",human,fibroblast,,,,
MSV000079550.txt,MMTS,K562,"primary foreskin fibroblasts, peripheral blood mononuclear cells (PBMCs)",trypsin/LysC mix,,,"DNA pulldowns, on-bead digestion","cells, tissue","Methylthiol, carbamidomethylation, Acetylation of N-termini, oxidation of methionines",human,"foreskin, peripheral blood mononuclear cells, nuclei",TCEP,"universal protein standard 2, UPS2",,
MSV000079562.txt,,HepG2 (ATCC HB-8065),human hepatocytes,"endoproteinase LysC, trypsin",,hepatoma,PEGylation strategy,"tissue, cells, cell line","PEGylation, Cys-enriched",human,"liver tissue, hepatocytes, nuclei, cytosol, membrane fractions",DTT,,,
MSV000079644.txt,"iodoacetamide, iodoacetimide",HCT116,Bone marrow cells,"Sequencing grade trypsin, sequencing grade modified trypsin","GDC-0973, GDC-0623, SCH772984, DMSO",colorectal carcinoma,"active kinase enrichment methodology based on multidrug inhibitor beads, Multiplex inhibitor beads, MIB enrichment","cells, cell line, tissue","Carbamidomethyl-C, Acetyl (Protein N-term), Acetyl+Oxidation (Protein N-term M), Gln->pyro-Glu (N-term Q), Met-loss (Protein N-term M), Met-loss+Acetyl (Protein N-term M), Oxidation (M)","mouse, human","bone marrow, femora, tibiae",DTT,,,C57BL/6
MSV000079774.txt,IAA,MCF-7 cells,,trypsin,,,,"cells, cell line","Carbamidomethyl (C), Acetyl (Protein N-term), oxidation (M)",Homo sapiens,,DTT,,,
MSV000079830.txt,IAA,MCF-7,,trypsin,,,,"cells, cell line","Carbamidomethyl (C), Acetyl (Protein N-term), oxidation (M)",Homo sapiens,,DTT,,,
MSV000079841.txt,iodoacetamide,HEK293,,"Lys-C, trypsin",,,,"cells, tissue","phosphorylation, glycosylation, methylation, cysteine alkylation, Oxidation (M), deamidation (N, Q), phosphorylation (ST), pyro-glutamate (N-term Q), carbamylation (K), Formylation (ST), iron (ED), iodoacetmaide (M), N-terminal methionine cleavage, acetylation, Acetylation (K), dihydroxy tryptophan (W), methylation (K), iodination (Y), mono-methylation, di-methylation, tri-methylation, diphthalamide modification","Homo sapiens, Mus musculus",brain,dithiothreitol,,,C57BL/6 × 129/sv
MSV000079904.txt,carbamidomethyl (Cys),"OVCA429, OVISE",ovarian clear cell carcinoma cell lines,trypsin,"DMSO, doxycycline 1 μg/ml",ovarian clear cell carcinoma,,"cells, cell line","acetylation (protein N-terminal), oxidation (Met)",human,,DTT,,,
MSV000079942.txt,IAA,,peripheral blood mononuclear cells (PBMCs),trypsin,"LPS 1 μg/mL, PHA 5 μg/mL, dexamethasone 100 ng/mL",inflammation,C-18 spin columns,cells,"carbamidomethylation on cysteins, methionine oxidation, N-terminal protein acetylation",Homo sapiens,"peripheral blood mononuclear cells, blood",DTT,,silver staining,
MSV000079947.txt,iodoacetamide,ZR-75-1,primary human mammary fibroblasts,trypsin,"TGFβ 2 ng/mL, IL-1β 10 ng/mL","breast adenocarcinoma, invasive breast carcinoma",,"tissue, cells, cell line","carbamidomethyl–cysteine, methionine oxidation, N-terminal protein acetylation, Carbamidomethylation of cysteine residues, oxidation of methionine residues",Homo sapiens,"breast, mammary","dithiothreitol, DTT",,silver-stained,
MSV000079960.txt,acrylamide,,"human newborn and adult monocytes, monocytes, CD14 positive",trypsin,"Alum 5 μg/ml, MPLA 100 ng/ml, MPLA 1000 ng/ml, R848 5 μ m, R848 50 μ m",,proteins were precipitated from the supernatants using trichloroacetic acid,"cells, biofluid","carbamidomethyl, methionine oxidation, pyroGlu formation, Glu->pyro-Glu, Gln->pyro-Glu, ammonia-loss",human,"monocytes, cord blood, blood","dithiothreitol, DTT",,Coomassie Blue,
MSV000079982.txt,,,"Primary human umbilical vein cells (HUVEC), Normal human dermal fibroblasts (NHDF)",,interleukin-1beta (IL-1β; 10 ng/mL),,160-nl enrichment column,cells,,human,umbilical vein,,four synthetic standard peptides,,
MSV000080048.txt,"iodoacetamide, IAA",,"primary human endothelial cells, fibroblasts, peripheral blood mononuclear cells, primary human dermal fibroblasts (NHDF), human umbilical vein endothelial cells (HUVEC), PBMCs",Trypsin,IL-1β 10 ng/ml,inflammation,C-18 spin columns,cells,"carbamidomethylation of cysteines, methionine oxidation, N-terminal protein acetylation",human,"dermal fibroblasts, umbilical vein endothelial cells, peripheral blood mononuclear cells","DTT, dithiothreitol",,silver staining,
MSV000080049.txt,"iodoacetamide, IAA",,"primary human endothelial cells, fibroblasts, Primary HUVEC, Normal human dermal fibroblasts (NHDF), peripheral blood mononuclear cells",Trypsin,IL-1β 10 ng/ml,inflammation,,cells,"carbamidomethylation of cysteines, methionine oxidation, N-terminal protein acetylation",human,"secreted, cytoplasmic, nuclear","DTT, dithiothreitol",,silver staining,
MSV000080056.txt,,"LNCaP, 22rv1, PC3, WPMY-1",,trypsin,,"prostate cancer, PCa",,"tissue, cells, cell line",,human,"prostate, prostate tumors, nonmalignant tissue",,"isotopically labeled standard, spike-in standard",,
MSV000080059.txt,,"UT7, K562","primary erythroid cells, erythroid progenitors, CD34 + progenitors, CD36 + erythroid progenitors, late burst-forming units-erythroid (BFU-Es), orthochromatic erythroblasts, reticulocytes, pyrenocytes, erythroblast",,"IL6, IL3, SCF, EPO, dexamethasone, human serum, fetal calf serum",,,"cells, cell line",,human,cord blood,,,,
MSV000080062.txt,,,saphenous vein smooth muscle cells (SMCs),"tryptic, tryptase β1, chymase","recombinant human chymase 1 μg/mL, tryptase β1 250 ng/mL","venous hypertension, varicose veins","sequential extraction procedure, decellularization using 0.08% SDS and extraction of ECM proteins using 4 M guanidine hydrochloride (GuHCl)",tissue,,human,"saphenous veins, great saphenous vein",,,,
MSV000080064.txt,carbamidomethylation,,,Tryptic,,,filter-aided sample preparation (FASP),,"acetyl (protein N-term), deamidated (NQ), glutamine to pyroglutamate, methionine oxidation, hydroxylation of proline",human,dental calculus,,bovine fetuin,,
MSV000080065.txt,,"LNCaP, 22rv1, PC3, WPMY-1",,trypsin,,"prostate cancer, PCa",,"tissue, cells, cell line",,human,prostate,,"isotopically labeled standard obtained from four prostate-derived cells lines, spike-in standard",,
MSV000080085.txt,"iodoacetamide, IAA",,"primary human endothelial cells, fibroblasts, peripheral blood mononuclear cells, primary human dermal fibroblasts (NHDF), human umbilical vein endothelial cells (HUVEC), PBMCs",Trypsin,IL-1β 10 ng/ml,inflammation,C-18 spin columns,cells,"carbamidomethylation of cysteines, methionine oxidation, N-terminal protein acetylation",human,,"DTT, dithiothreitol",,silver staining,
MSV000080198.txt,iodoacetamide,"U2OS, U2OS Flp-In T-Rex cells",,trypsin,"Doxycyclin 2 μg/mL, biotin 50 μM, etoposide",,"GFP-Immunoprecipitation, Streptavidin Purification","cells, cell line","carbamidomethylation on cysteine, methionine oxidation, protein N-terminal acetylation",Homo sapiens,,DTT,,Coomassie Blue,
MSV000080224.txt,,,,trypsin,"PAD2 1.4 U/ml, TGFβ1-LAP 0.1 μg/ml",,,cells,"Carbamidomethyl (C), citrullination (R), deamidation (N, Q), oxidation (M)",Homo sapiens,,,,,
MSV000080254.txt,,"Hep3B, MHCC97H, HCCLM3",,,,hepatocellular carcinoma (HCC),,cell line,,human,,,,,
MSV000080262.txt,,"MCC13, MCC26, MKL1, MKL2",,,,Merkel cell carcinoma,"differential centrifugation, filtration, ExoQuick exosome precipitation reagent",cell line,,Homo Sapiens,,,,,
MSV000080263.txt,iodoacetamide,,,trypsin,,healthy,"ultrafiltration, hydrophilic-lipophilic-balanced reversed-phase cartridge (Oasis HLB)",biofluid,"carbamidomethyl cysteine, oxidized methionine, protein N-acetylation, oxidized proline",human,urine,"dithiothreitol, DTT",,,
MSV000080265.txt,chloroacetamide,K562 (ATTC),,trypsin,,,"serial RNA interactome capture, serIC, oligo(dT) dynabeads","cells, cell line","Cysteine carbamidomethylation, N-terminal acetylation, methionine oxidation",human,nuclei,DTT,,silver staining,
MSV000080266.txt,cysteine carboxamidomethylation,HeLa cells,"AML blasts, lymphocytes, primary AML cells",trypsin,,acute myeloid leukemia (AML),differential ultracentrifugation,"cells, biofluid","methionine oxidation, N-acetylation",Homo sapiens,bone marrow,,,Coomassie Brilliant Blue G250,
MSV000080267.txt,,,,"LysC, trypsin",,healthy,"Agilent Multiple Affinity Removal Spin Cartridge, ProteoPrep20 Plasma Immunodepletion Kit",biofluid,"cysteine carbamidomethylation, N-terminal acetylation, methionine oxidations",human,"blood, plasma, serum",,,,
MSV000080269.txt,chloroacetamide,,,"Lys-C, trypsin",,healthy,"immunoaffinity purified using the PTMScan® Ubiquitin Remnant Motif (K-ε-GG) Kit (#5562, Cell Signaling Technology)",biofluid,"Carbamidomethyl at cysteine, oxidation at methionine, di-glycine (+114.042927, Unimod Accession #: 121) at lysine, LeuArgGlyGly (LRGG, +383.228103, Unimod Accession #: 535) at lysine",human,urine,DTT,AQUA peptide mixture,Coomassie,
MSV000080270.txt,carboxamidomethylation,"HCT116, U87",,trypsin,Erlotinib,cancer,"Phosphopeptide immunoprecipitation, phosphotyrosine-based phosphoproteomics",cells,"Cysteine carboxamidomethylation, serine, threonine and tyrosine phosphorylation, methionine oxidation, N-terminal acetylation",Homo sapiens,,,,,
MSV000080274.txt,iodoacetamide,HEK293,,"Lys-C, trypsin",,,,"cells, cell line",,Homo sapiens,,,,,
MSV000080275.txt,,,,trypsin,salbutamol 200 μg,"Chronic obstructive pulmonary disease (COPD), early stage COPD, asymptomatic smokers, former smokers, never smokers",,biofluid,,human,sputum,DTT,,,
MSV000080276.txt,,Ishikawa cancer cells,"primary stromal cell, endometrial stromal cells, eutopic endometrial primary stromal cell, ectopic endometrial primary stromal cell",dimethylated porcine trypsin,,endometriosis,,"cells, tissue","Methionine oxidation, asparagine/glutamine deamidation, protein N-terminal acetylation, cysteine carbamidomethylation",Homo sapiens,"endometrium, peritoneal endometriotic lesions",DTT,SILAC standard,,
MSV000080277.txt,iodoacetamide,,,trypsin,,,"ultracentrifugation, Sucrose cushion isolation",biofluid,"Cysteine carbamidomethylation, N-acetylation of proteins, oxidized methionine, serine, threonine, and tyrosine phosphorylations",human,cerebrospinal fluid,DTT,,Coomassie brilliant blue G-250,
MSV000080278.txt,IAA,"OVCAR3, OVCAR433, OVCAR5, SKOV3",,trypsin,,epithelial ovarian cancer,"differential centrifugation, ultracentrifugation",cell line,"carbamidomethylation of cysteine, oxidation of methionine",human,exosomes,DTT,,,
MSV000080280.txt,iodoacetamide,,,sequencing grade trypsin,,metastatic melanoma,,tissue,,Human,lymph node,DTT,,,
MSV000080281.txt,iodoacetamide,HeLa-S3 cells,,"trypsin, sequencing-grade trypsin","ATP 10 μM, staurosporine 10 μM",,Immobilized streptavidin agarose resin,cell line,"Carbamidomethylation of cysteine, methionine oxidation, desthiobiotinylated lysine",Homo sapiens,,DTT,,,
MSV000080368.txt,,,,,,"pemphigus, PV, PF",affinity purified on Dsg,biofluid,,Homo sapiens,serum,,stable isotopically labeled peptides,,
MSV000080517.txt,iodoacetamide,"T2, LCL1 (IHW09005, HLA-A0301, B2705, C0102), LCL2 (IHW09216, HLA-A0201, A0301, B3502, B3801), T2-A3, T2-B7, T2-B27",PBMC,,,metastatic malignant melanoma,"immunoaffinity purified, immunoaffinity purification",tissue,"N-terminal acetylation, methionine oxidation, phosphorylation",human,"melanoma tissue, tumour tissue",,,,
MSV000080544.txt,,,,tryptic,,,,,"carboxyamidomethylated cysteine, Carbamidomethylated cysteine, methionine oxidation","human, mouse",,,"retention time (RT) standards, 13C-labelled peptides",,
MSV000080596.txt,,,,"Trypsin, LysC",liraglutide 1.2 mg,"obese, obesity, metabolic diseases","depletion of the top 20 most abundant plasma proteins, Agilent Multiple Affinity Removal Spin Cartridge, ProteoPrep20 Plasma Immunodepletion Kit",biofluid,"cysteine carbamidomethylation, N-terminal acetylation, methionine oxidations",human,plasma,,,,
MSV000080620.txt,,,enterocytes,"LysC, trypsin",,"Colorectal cancer, adenoma",,tissue,"Carbamido-methylation of cysteine, N-terminal acetylation, oxidation of methionine",Human,"colorectal enterocytes, colorectal tissue",DTT,,,
MSV000080640.txt,,,"Normal human dermal fibroblasts (NHDF), human mesenchymal stem cells (hMSC)",trypsin,"IL-1β 10 ng/mL, dexamethasone 100 ng/mL",chronic inflammation,,cells,,human,"dermal fibroblasts, mesenchymal stem cells",dithiothreitol,,,
MSV000080643.txt,iodoacetamide,,human macrophages,trypsin,influenza A (H3N2) strain Udorn/72 2.56 hemagglutination unit/mL,Influenza A viruses (IAVs),ultracentrifugation,cells,"carbamidomethyl (C), oxidation (M), deamidation (N, Q)",Homo sapiens,,dithiotreitol,,silver-stained,Udorn/72
MSV000080685.txt,iodoacetamide,,,trypsin,,lung squamous cell carcinomas,,tissue,"carbamidomethylation (cysteine), oxidation (methionine), pyroglutamic acid (glutamic acid)",human,lung,DTT,"standard peptide retention time calibrator mixture (PRTC, Pierce #88320)",,
MSV000080688.txt,IAA,"human cervical cancer cells (HeLa), NPC1-KO HeLa cells, WT HeLa cells",,"trypsin, EndoLys-C","aminolipid-coated SPIONs 2 mg/ml, carboxylipid-coated SPIONs 2 mg/ml, methoxylipid-coated SPIONs 2 mg/ml, DMSA-coated SPIONs 200 μg/ml","Niemann-Pick disease type C1, NPC1 deficiency","magnetic isolation, magnetic labeling","cells, cell line","methionine oxidation, pyro-glutamate formation of amino terminal glutamine, acetylation of the protein N-terminus, Carbamidomethylation of cysteine residues, oxidation of methionine residues (to sulfoxides), acetylation of protein N-termini",Homo sapiens,"late endosomes/lysosomes, plasma membrane",DTT,,SimplyBlueTM SafeStain,
MSV000080689.txt,IAA,"HeLa S3 cells (DSMZ, Braunschweig, Germany)",,trypsin,,,,cell line,"carbamidomethylation of Cys, oxidation of Met, phosphorylation of Ser/Thr/Tyr",Homo sapiens,,DTT,,,
MSV000080691.txt,N-ethylmaleimide,"HeLa cells, breast adenocarcinoma cells MDA-MB231, lung adenocarcinoma A549 cells, Ovarian cancer cell line HeyA8",,trypsin,"EGF 100 ng/mL, TGF-α 100 ng/mL",,"ubiquitylated peptides were enriched, phosphorylated tyrosine peptide enrichment, enriched for phosphorylated serine and threonine-containing peptides, titansphere chromatography, immunoprecipitated proteins","cells, cell line","ubiquitylated, phosphorylated tyrosine, phosphorylated serine, phosphorylated threonine",human,,,,,
MSV000080692.txt,iodoacetamide,,,sequencing-grade modified trypsin,"ammonium acetate buffer (AAB, 50 mM, pH 6.0), triethylammonium bicarbonate (TEAB, 50 mM, pH8.5), ammonium bicarbonate buffer (ABB, 50 mM, pH 8.0)","subarachnoid hemorrhage, dementia","ultracentrifugation-electrostatic repulsion hydrophilic interaction chromatography (UC-ERLIC), ultracentrifugation",tissue,"Carbamidomethylation, oxidation, deamidation",human,brain tissue,dithiothreitol,,,
MSV000080694.txt,iodoacetamide,HEK293FT,"primary human fibroblasts, HCA2-hTertcells",trypsin,,,,cells,,Homo sapiens,,"Tris (2-carboxyethyl) phosphine, TCEP",,,
MSV000080695.txt,,Human embryonic kidney cells (HEK293),,,FIH-V5,,Immunoprecipitation,"cells, cell line",hydroxylation/oxidation,Homo sapiens,,,,,
MSV000080700.txt,,HEK293T,,,"PKCγ M501I, PKD1 D665N",ovarian cancer,FLAG affinity purification,"cell line, cells",phosphorylation,Homo sapiens,,,,,
MSV000080701.txt,carbamidomethylation,HeLa S3,,trypsin,"EGF 100 ng/ml, pervanadate 1 mM, calyculin A 50 ng/ml",cancer,"TiO2 beads, immunoprecipitation with a mix of anti-P-Tyr antibodies",cell line,"N-acetylation of protein, oxidation of methionine, phosphorylation of Ser, Thr, Tyr residue (STY)",human,,,,,
MSV000080702.txt,iodoacetamide,HeLa cell line,,trypsin,,,,cell line,"carbamidomethylation of C, oxidation of M, acetylation of protein N terminus",human,,DTT,,,
MSV000080703.txt,,,,,,"transient antenatal Bartter’s syndrome, idiopathic polyhydramnios",,,,,,,,,
MSV000080704.txt,,HeLa-Flp-In T-REx,,,2 mM HU,,"GFP-trap magnetic agarose beads, iPOND",cell line,"M(ox), protein N-terminal acetylation, carbamylation",human,,,,,
MSV000080709.txt,,"HEK293, HeLa, K562, HepG2, MCF-10A, MDA-MB, MCF7, WI38, C2C12, NIH3T3","myoblasts, myotubes",,,,,"cells, tissue","deamidation, methylation","human, mouse, zebrafish, Drosophila melanogaster, C. elegans","brain tissue, liver",,,,
MSV000080712.txt,"iodoacetamide, IAA","Human Embryonic Kidney 293 (HEK-293), HEK-293 cells",,trypsin,,,"Acclaim C18 PepMap microprecolumn (300 μm id × 5 mm, 5 μm particle size, 100 Å pore size; Dionex)","cells, cell line","Carbamidomethylation of cysteine residues, oxidation of methionine, acetylation of the N-terminus of proteins",Human,,DTT,,,
MSV000080713.txt,,293T cells,,trypsin,"hAha1-Y223E-FLAG, hAha1-Y223F-FLAG",,purified,"cells, cell line",,Homo sapiens,,,,,
MSV000080714.txt,Chloroacetamide,HeLa cells,,"Lys-C, Trypsin, Sequencing Grade Modified Trypsin",,,"Ni-NTA beads (Qiagen), Neutravidin beads (Thermo)","cells, cell line","SUMOylation, acetylation, SNHSA, SNHSSSB, Protein N-terminal acetylation, methionine oxidation, peptide N-terminal carbamylation",Homo sapiens,,"$eta$-mercaptoethanol, $eta$-ME, DTT",,,
MSV000080715.txt,iodoacetamide,"HT29, CaCo2, HCT116, RKO, SW480, SW1398, Colo205, DLD1",,trypsin,,colorectal cancer (CRC),"TiOx-based phosphopeptide enrichment, TiO2 beads based using aliphatic hydroxy-acid modified metal oxide chromatography",cell line,"Cysteine carboxamidomethylation, serine, threonine and tyrosine phosphorylation, methionine oxidation, N-terminal acetylation",human,,"dithiotreitol, DTT",,,
MSV000080717.txt,Carbamidomethylation,,primary human macrophages,tryptic,influenza A virus,influenza A virus infected,"phosphopeptide enrichment with IMAC, IMAC",cells,"oxidation (M), phosphorylation (S, T, and Y), acetylation (protein N-terminal)",Homo sapiens,,,,,
MSV000080719.txt,,HepG2; Sigma,"Human Epidermal Keratinocyte, Human Prostate Epithelial Cell, Human Mammary Epithelial Cell, Human Renal Proximal Tubular Epithelial Cell, Human Neuron, Human aortic smooth muscle cells (HA-SMCs)",trypsin,,,,tissue,"carbamidomethyl, methionine oxidation",human,"kidney tubule, artery, kidney, aorta",,,Coomassie blue stain,
MSV000080723.txt,"iodoacetamide, IAA","HEK293T, DAOY, K562",,trypsin,"dithiobis (succinimidyl propionate) DSP 0.05, dithiobis (succinimidyl propionate) DSP 0.25, dithiobis (succinimidyl propionate) DSP 1 mM",,"immunoprecipitation, coimmunoprecipitation","cells, cell line","carbamidomethyl cysteine, oxidized methionine, C-terminal 18O labeling",Homo sapiens,,"dithiothreitol, DTT",,EZ Blue Gel Staining Reagent,
MSV000080730.txt,iodacetamide,"HCT116, SW480",,trypsin/lys-c mixture,"KP46 1 μm, KP772 5 μm, KP1339 80 μm, KP1537 0.5 μm, As2O3 5 μm",colon carcinoma,,"cells, cell line",,Homo sapiens,"cytoplasmic, nuclear","DTT, dithiothreitol",,,
MSV000080731.txt,,,"BM-derived MSCs, BM-MSCs, AD-MSCs, BM- or AD-derived stromal cells",trypsin,,,,cells,Methionine oxidation,Human,"bone marrow, adipose",,,Coomassie blue staining,
MSV000080735.txt,"iodoacetamide, IAA",HepG2,,trypsin,,,"phosphate ion pre-coordinated affinity materials, Ti4+-IMAC adsorbents, TiO2 adsorbents","cells, cell line","phosphorylation of serine (S), threonine (T) and tyrosine (Y), oxidation of methionine (M), carbamidomethylation of cysteine (C)",Homo sapiens,,"dithiothreitol, DTT",,,
MSV000080740.txt,iodoacetamide,HEK293,,"modified trypsin, trypsin",,"prostate cancer, negative biopsy",immunoenrichment-SRM,biofluid,"oxidation of methionine and tryptophan, N-terminal peptide acetylation, cysteine carbamidomethylation, glutamine and asparagine deamidation, N-terminal protein acetylation, pyro-carbamidomethyl",Human,"sweat, cervico-vaginal fluid, seminal plasma, blood serum",dithiothreitol,"heavy isotope-labeled peptides, heavy isotope-labeled peptide internal standards",,
MSV000080741.txt,chloroacetamide,HEK293 N3S,,"Lys-C, endoproteinase Glu-C, trypsinized",,,"Nickel affinity purification, Enrichment of diGly-Lys containing peptides with anti-KεGG","cells, cell line","sumoylated, Carbamidomethylation of Cys, oxidation of Met, acetylation of protein N-termini, phosphorylation of Ser, Thr, and Tyr, diGly adduction to Lys",human,,β-mercaptoethanol,,,
MSV000080742.txt,iodoacetamide,"HCT116, HeLa",,"Lys-C, trypsin","UPS1 100 fmol, UPS1 300 fmol, UPS1 600 fmol, EGF",lung cancer,,"cells, tissue","Carbamidomethylation of cysteine, N-acetylation, oxidized methionine",Homo sapiens,,DTT,UPS1,,
MSV000080743.txt,,LCLs,,His-tagged TEV protease,,Ruijs-Aalfs syndrome (RJALS),"Ni-sepharose IMAC gravity flow column, HiTrap SP HP column",cells,,E. coli,,,,,
MSV000080744.txt,,"JJN-3, H460 (NCI-460), A549 (ATCC CCL-185), U2OS (ATCC HTB-96)",,trypsin,"docetaxel 5 ng/mL, cisplatin 5 μM, cisplatin 0.5 μM","multiple myeloma, large cell lung cancer, non-small cell lung cancer, osteosarcoma","Multiplexed Inhibitor Bead (MIB) assay, modified MIB assay",cell line,"deamidation of asparagine/glutamine, oxidation of methionine, N-terminal acetylation, dimethylation of lysine/arginine",human,,,,,
MSV000080745.txt,,,"macrophages, dendritic cells, Neutrophils, Bone marrow monocytes, Splenic dendritic cells, BM-DC, BM-M",tryptic,,"fungal infections, fungal sepsis",,cells,"Beta-methylthiolation on cysteine, oxidation on methionine, acetylation on lysine, phosphorylation on serine, threonine and tyrosine, deamidation on asparagine and glutamine, ubiquitinylation on lysine",human,,,,,
MSV000080746.txt,iodoacetamide,HeLa,,"chymotrypsin, trypsin",recombinant meprin β 15 nM,,"immunoprecipitated, affinity chromatography","cells, cell line","reductive dimethylation, dimethylation, carbamidomethylation",Homo sapiens,,DTT,,Coomassie blue,
MSV000080747.txt,,"Jurkat, HeLa",,modified trypsin,"nocodazole 0.2 μM, cytochalasin D 1 μg/ml, CK666, siRNA against PCM1",,"centrifugation onto a 60% sucrose cushion, centrifugation through a discontinuous (70%, 50% and 40%) sucrose gradient",cell line,,Homo sapiens,centrosomes,,,R-250 Coomassie blue,
MSV000080749.txt,"iodoacetamide, IAA",,,"Trypsin Gold, trypsin",purified human intact cTnT 1.5 mg/L,"ST-segment elevated myocardial infarction (STEMI), multiple myeloma, gallstone disease",immunoprecipitation,biofluid,oxidised methionine,human,serum,"dithiothreitol, DTT",purified human intact cTnT,Bio-Safe™ Coomassie,
MSV000080750.txt,chloroacetamide,HeLa cells,,trypsin,interferon α2 1000 units per ml,,"nickel affinity purification, His-affinity purification","cells, cell line","GlyGly modification of lysine residues, oxidation of methionine residues, pyroglutamate formation of N-terminal glutamine residues, Carbamidomethyl formation of cysteine residues",Homo sapiens,,"tris(2-carboxyethyl)phosphine, TCEP",,,
